model,f1_markov_0.6
RWKV-4-Raven-14B,0
alpaca-13b,0
bard-jan-24-gemini-pro,0
chatglm-6b,0
chatglm2-6b,0
chatglm3-6b,0
claude-1,0
claude-2.0,0
claude-2.1,0
claude-instant-1,0
codellama-34b-instruct,0
deepseek-llm-67b-chat,0
dolly-v2-12b,0
dolphin-2.2.1-mistral-7b,0
falcon-180b-chat,0
fastchat-t5-3b,0
gemini-pro,0
gemini-pro-dev-api,0
gpt-3.5-turbo-0314,0
gpt-3.5-turbo-0613,0
gpt-3.5-turbo-1106,0
gpt-4-0314,0
gpt-4-0613,0
gpt-4-turbo,0
gpt4all-13b-snoozy,0
guanaco-33b,0
koala-13b,0
llama-13b,0
llama-2-13b-chat,0
llama-2-70b-chat,0
llama-2-7b-chat,0
llama2-70b-steerlm-chat,0
mistral-7b-instruct,0
mistral-medium,0
mixtral-8x7b-instruct-v0.1,0
mpt-30b-chat,0
mpt-7b-chat,0
oasst-pythia-12b,0
openchat-3.5,0
openhermes-2.5-mistral-7b,0
palm-2,0
pplx-70b-online,0
pplx-7b-online,0
qwen-14b-chat,0
solar-10.7b-instruct-v1.0,0
stablelm-tuned-alpha-7b,0
starling-lm-7b-alpha,0
stripedhyena-nous-7b,0
tulu-2-dpo-70b,0
vicuna-13b,0
vicuna-33b,0
vicuna-7b,0
wizardlm-13b,0
wizardlm-70b,0
yi-34b-chat,0
zephyr-7b-alpha,0
zephyr-7b-beta,0
